Property,Value
name,"N4-(3-bromophenyl)-4,6,7-Quinazolinetriamine"
iupac_name,"4-N-(3-bromophenyl)quinazoline-4,6,7-triamine"
smiles,C1=CC(=CC(=C1)Br)NC2=NC=NC3=CC(=C(C=C32)N)N
cid,2426
inchi,"InChI=1S/C14H12BrN5/c15-8-2-1-3-9(4-8)20-14-10-5-11(16)12(17)6-13(10)18-7-19-14/h1-7H,16-17H2,(H,18,19,20)"
inchikey,ADXSZLCTQCWMTE-UHFFFAOYSA-N
mol_weight,330.189
num_H_acceptors,5
num_H_donors,3
logp,3.3
tpsa,89.85
num_rot_bonds,2
saturation,0.0
drug_score_qed,0.63
drug_score_lipinski,1.0
drug_score_custom,0.65
drug_score_total,0.7
