CID,CanonicalSMILES,dice_similarity,mol_weight,num_H_acceptors,num_H_donors,logp,tpsa,num_rot_bonds,saturation,drug_score_qed,drug_score_lipinski,drug_score_custom,drug_score_total
84759,C1=CC=C2C(=C1)C(=NC=N2)N,0.46,145.165,3,1,1.21,51.8,0,0.0,0.61,1.0,0.64,0.68
62274,CC1=CC2=C(C=CC=N2)C3=C1N(C(=N3)N)C,0.34,212.256,3,1,2.01,56.73,0,0.17,0.62,1.0,0.72,0.72
7019,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,0.33,194.237,2,1,2.97,38.91,0,0.0,0.56,1.0,0.63,0.66
62389,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,0.32,225.255,4,2,1.96,66.49,3,0.08,0.71,1.0,0.76,0.78
10288191,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,0.3,441.232,5,3,3.01,88.41,6,0.18,0.4,1.0,0.57,0.56
7099,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N,0.29,209.252,3,2,2.55,64.93,0,0.0,0.44,1.0,0.69,0.62
53462,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,0.29,198.229,3,1,1.7,56.73,0,0.09,0.6,1.0,0.69,0.7
2435,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,0.28,292.14,5,2,1.76,62.2,1,0.18,0.84,1.0,0.71,0.82
1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,0.28,198.269,2,1,2.7,38.91,0,0.31,0.71,1.0,0.66,0.74
103148,CC1=NC2=C(C=C1)C=C(C=C2)N,0.27,158.204,2,1,2.13,38.91,0,0.1,0.6,1.0,0.6,0.67
57469,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,0.27,240.31,3,1,2.82,56.73,2,0.29,0.75,1.0,0.81,0.81
62805,C1=CC=C2C(=C1)C3=C(N2)N=C(C=C3)N,0.26,183.214,2,2,2.3,54.7,0,0.0,0.56,1.0,0.62,0.65
1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,0.26,224.267,3,1,2.22,56.73,1,0.08,0.69,1.0,0.76,0.76
443101,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.[Cl-],0.25,468.992,5,4,1.54,120.85,0,0.04,0.15,1.0,0.41,0.38
62275,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,0.24,213.244,4,1,1.41,69.62,0,0.18,0.61,1.0,0.68,0.7
6451164,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)C=CC#N,0.24,366.428,6,2,4.99,97.42,5,0.09,0.62,1.0,0.6,0.68
214347,CC1=CC(=C(C(=C1)C)NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C,0.24,329.407,5,2,4.76,73.63,4,0.15,0.72,1.0,0.7,0.76
14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],0.23,394.316,2,2,1.14,55.92,2,0.1,0.3,1.0,0.67,0.54
9865515,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,0.23,396.454,6,3,3.99,105.82,6,0.04,0.43,1.0,0.53,0.56
5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,0.22,253.269,7,3,0.83,129.62,1,0.0,0.59,1.0,0.49,0.62
135398510,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N,0.22,392.438,5,3,2.54,94.04,2,0.24,0.49,1.0,0.61,0.62
11640390,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,0.22,421.504,5,2,4.82,89.33,3,0.19,0.44,1.0,0.59,0.58
6842,C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.[Cl-],0.21,259.74,2,2,-1.01,55.92,0,0.07,0.31,1.0,0.59,0.52
675,CC1=CC2=C(C=C1C)N=CN2,0.21,146.193,1,1,2.18,28.68,0,0.22,0.61,1.0,0.52,0.64
11292933,CC1=NC2=C(C=C1)C(=CC=C2)N3CCN(CC3)CCC4=CC(=CC=C4)N5CCNC5=O,0.2,415.541,4,1,3.44,51.71,5,0.36,0.69,1.0,0.77,0.77
5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.2,493.615,7,2,4.59,86.28,7,0.24,0.39,1.0,0.49,0.52
65997,C1CN(CCN1)C2=NC3=CC=CC=C3N2CC4=CC=CC=C4,0.19,292.386,3,1,2.49,33.09,3,0.28,0.8,1.0,0.83,0.84
5011,C1CN(CCN1)C2=NC3=CC=CC=C3C=C2,0.18,213.284,3,1,1.64,28.16,1,0.31,0.78,1.0,0.71,0.79
11256587,C1CC(C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3,0.18,349.482,4,2,3.58,70.83,7,0.43,0.64,1.0,0.78,0.75
46220502,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,0.16,506.605,7,1,4.94,75.0,7,0.41,0.38,0.75,0.56,0.5
