CID,mode,affinity[kcal/mol],dist from best mode_rmsd_l.b,dist from best mode_rmsd_u.b,drug_score_total
65997,1,-8.5,0.0,0.0,0.84
65997,2,-8.0,1.697,5.591,0.84
65997,3,-7.9,1.421,4.776,0.84
65997,4,-7.9,1.68,4.937,0.84
65997,5,-7.7,1.449,4.981,0.84
2435,1,-7.3,0.0,0.0,0.82
2435,2,-6.9,1.682,2.437,0.82
2435,3,-6.8,1.318,1.386,0.82
2435,4,-6.8,2.215,2.945,0.82
2435,5,-6.6,3.289,5.104,0.82
57469,1,-7.8,0.0,0.0,0.81
57469,2,-7.5,1.481,4.817,0.81
57469,3,-7.5,2.058,4.803,0.81
57469,4,-7.4,1.361,1.928,0.81
57469,5,-7.3,1.652,4.83,0.81
5011,1,-7.3,0.0,0.0,0.79
5011,2,-7.0,6.568,8.451,0.79
5011,3,-7.0,3.664,6.446,0.79
5011,4,-6.9,5.896,8.16,0.79
5011,5,-6.8,5.495,8.84,0.79
62389,1,-7.8,0.0,0.0,0.78
62389,2,-7.8,1.887,6.238,0.78
62389,3,-7.8,1.302,1.797,0.78
62389,4,-7.8,1.563,2.338,0.78
62389,5,-7.7,2.063,6.237,0.78
11292933,1,-10.2,0.0,0.0,0.77
11292933,2,-10.2,1.298,2.829,0.77
11292933,3,-9.8,3.065,10.369,0.77
11292933,4,-9.6,2.331,2.977,0.77
11292933,5,-9.4,3.876,8.08,0.77
214347,1,-8.4,0.0,0.0,0.76
214347,2,-8.2,0.195,1.744,0.76
214347,3,-8.0,4.16,9.847,0.76
214347,4,-7.9,3.996,9.88,0.76
214347,5,-7.6,2.269,3.475,0.76
1530,1,-7.8,0.0,0.0,0.76
1530,2,-7.7,2.004,3.486,0.76
1530,3,-7.6,1.084,2.46,0.76
1530,4,-7.6,1.363,2.064,0.76
1530,5,-7.4,2.053,5.842,0.76
11256587,1,-8.4,0.0,0.0,0.75
11256587,2,-8.2,1.597,1.726,0.75
11256587,3,-7.9,2.679,6.293,0.75
11256587,4,-7.8,1.972,5.485,0.75
11256587,5,-7.6,1.965,2.642,0.75
1935,1,-7.3,0.0,0.0,0.74
1935,2,-7.1,1.638,1.858,0.74
1935,3,-7.1,1.324,4.843,0.74
1935,4,-7.1,0.977,2.681,0.74
1935,5,-7.0,0.998,5.246,0.74
62274,1,-7.2,0.0,0.0,0.72
62274,2,-7.1,2.269,3.663,0.72
62274,3,-7.1,2.516,5.068,0.72
62274,4,-7.1,1.712,5.008,0.72
62274,5,-7.1,2.311,3.535,0.72
62275,1,-7.0,0.0,0.0,0.7
62275,2,-7.0,1.626,5.787,0.7
62275,3,-6.8,3.083,5.554,0.7
62275,4,-6.7,2.472,3.785,0.7
62275,5,-6.7,2.151,6.312,0.7
53462,1,-6.9,0.0,0.0,0.7
53462,2,-6.8,2.421,3.821,0.7
53462,3,-6.8,3.753,5.537,0.7
53462,4,-6.7,2.614,5.209,0.7
53462,5,-6.6,3.407,5.158,0.7
84759,1,-6.8,0.0,0.0,0.68
84759,2,-6.5,1.813,3.369,0.68
84759,3,-6.4,0.745,2.456,0.68
84759,4,-6.3,1.805,4.03,0.68
84759,5,-6.2,1.485,2.233,0.68
6451164,1,-8.0,0.0,0.0,0.68
6451164,2,-7.9,3.133,10.803,0.68
6451164,3,-7.8,3.104,10.821,0.68
6451164,4,-7.7,1.02,1.871,0.68
6451164,5,-7.7,1.862,2.132,0.68
103148,1,-6.3,0.0,0.0,0.67
103148,2,-6.1,4.883,6.985,0.67
103148,3,-6.1,6.608,8.015,0.67
103148,4,-6.0,6.382,8.01,0.67
103148,5,-6.0,5.239,7.713,0.67
7019,1,-7.4,0.0,0.0,0.66
7019,2,-7.4,0.306,4.681,0.66
7019,3,-7.3,0.932,2.595,0.66
7019,4,-7.2,0.976,5.334,0.66
7019,5,-7.1,1.385,1.951,0.66
62805,1,-7.4,0.0,0.0,0.65
62805,2,-7.2,2.65,5.382,0.65
62805,3,-7.1,1.846,4.93,0.65
62805,4,-7.0,1.16,1.45,0.65
62805,5,-6.9,2.781,4.905,0.65
675,1,-6.0,0.0,0.0,0.64
675,2,-5.9,2.042,3.737,0.64
675,3,-5.9,2.012,3.491,0.64
675,4,-5.8,2.793,4.255,0.64
675,5,-5.8,1.207,1.964,0.64
5546,1,-8.2,0.0,0.0,0.62
5546,2,-8.1,1.618,3.343,0.62
5546,3,-7.7,3.678,5.003,0.62
5546,4,-7.7,2.401,5.94,0.62
5546,5,-7.5,2.25,3.613,0.62
