Property,Value
name,Methylergometrine
iupac_name,"(6aR,9R)-N-[(2S)-1-hydroxybutan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
smiles,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
cid,8226
inchi,"InChI=1S/C20H25N3O2/c1-3-14(11-24)22-20(25)13-7-16-15-5-4-6-17-19(15)12(9-21-17)8-18(16)23(2)10-13/h4-7,9,13-14,18,21,24H,3,8,10-11H2,1-2H3,(H,22,25)/t13-,14+,18-/m1/s1"
inchikey,UNBRKDKAWYKMIV-QWQRMKEZSA-N
mol_weight,339.439
num_H_acceptors,3
num_H_donors,3
logp,1.92
tpsa,68.36
num_rot_bonds,4
saturation,0.45
drug_score_qed,0.8
drug_score_lipinski,1.0
drug_score_custom,0.83
drug_score_total,0.84
