CID,CanonicalSMILES,dice_similarity,mol_weight,num_H_acceptors,num_H_donors,logp,tpsa,num_rot_bonds,saturation,drug_score_qed,drug_score_lipinski,drug_score_custom,drug_score_total
60149,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O,0.39,440.95,2,1,4.63,40.51,5,0.38,0.63,1.0,0.67,0.7
10096344,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,0.34,472.553,7,1,1.15,116.86,4,0.4,0.44,1.0,0.61,0.59
125564,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(C=C4)F,0.32,367.512,3,0,4.69,19.37,3,0.52,0.78,1.0,0.75,0.81
5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.31,493.615,7,2,4.59,86.28,7,0.24,0.39,1.0,0.49,0.52
57469,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,0.28,240.31,3,1,2.82,56.73,2,0.29,0.75,1.0,0.81,0.81
25166913,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N,0.27,374.448,4,3,3.39,96.84,3,0.29,0.65,1.0,0.68,0.72
9931954,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,0.27,323.371,2,3,2.98,56.92,3,0.21,0.69,1.0,0.73,0.75
2723754,C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl,0.26,234.73,2,1,3.12,38.91,0,0.31,0.76,1.0,0.69,0.78
9215,C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,0.25,179.222,1,0,3.39,12.89,0,0.0,0.48,1.0,0.43,0.55
46220502,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,0.25,506.605,7,1,4.94,75.0,7,0.41,0.38,0.75,0.56,0.5
644241,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.24,529.526,6,2,6.36,97.62,6,0.11,0.27,0.5,0.45,0.37
441243,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,0.24,670.855,7,5,3.09,166.75,12,0.5,0.2,0.75,0.35,0.34
443955,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,0.23,350.462,3,0,4.15,34.47,3,0.5,0.78,1.0,0.8,0.82
28693,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5,0.23,403.526,3,1,4.06,46.5,4,0.4,0.71,1.0,0.79,0.78
6918837,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,0.23,349.434,3,4,3.33,77.15,7,0.19,0.23,1.0,0.64,0.5
53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,0.22,304.325,5,3,2.98,89.27,5,0.2,0.79,1.0,0.69,0.79
443951,CCN(CC)C(=O)NC1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)C,0.22,340.471,2,2,2.93,51.37,3,0.55,0.9,1.0,0.89,0.91
2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,0.22,319.88,3,1,4.81,28.16,8,0.5,0.76,1.0,0.77,0.8
5761,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.22,323.44,2,1,2.91,39.34,3,0.45,0.94,1.0,0.86,0.92
28864,CCN(CC)C(=O)NC1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.22,338.455,2,2,2.84,51.37,3,0.45,0.9,1.0,0.85,0.9
7047,C1=CC=C2C(=C1)C=CC=N2,0.22,129.162,1,0,2.23,12.89,0,0.0,0.53,1.0,0.41,0.57
8226,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.21,339.439,3,3,1.92,68.36,4,0.45,0.8,1.0,0.83,0.84
47811,CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC,0.21,314.498,2,1,4.27,19.03,4,0.58,0.91,1.0,0.84,0.9
41781,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,0.21,348.428,5,3,2.53,100.19,5,0.25,0.77,1.0,0.67,0.78
443884,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,0.21,325.412,3,3,1.53,68.36,3,0.42,0.8,1.0,0.81,0.84
6089,CN(C)CCC1=CNC2=CC=CC=C21,0.21,188.274,1,1,2.27,19.03,3,0.33,0.78,1.0,0.62,0.76
9681,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,0.2,353.466,3,2,1.94,57.5,4,0.48,0.88,1.0,0.89,0.9
54746,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,0.17,451.615,4,2,3.19,71.68,8,0.54,0.6,1.0,0.74,0.71
6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,0.17,167.211,0,1,3.32,15.79,0,0.0,0.53,1.0,0.46,0.59
5546,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,0.14,253.269,7,3,0.83,129.62,1,0.0,0.59,1.0,0.49,0.62
