CID,mode,affinity[kcal/mol],dist from best mode_rmsd_l.b,dist from best mode_rmsd_u.b,drug_score_total
5761,1,-7.8,0.0,0.0,0.92
5761,2,-7.7,1.205,1.679,0.92
5761,3,-7.6,1.663,4.145,0.92
5761,4,-7.5,2.193,3.878,0.92
5761,5,-7.2,2.67,5.772,0.92
443951,1,-9.7,0.0,0.0,0.91
443951,2,-9.2,2.068,4.067,0.91
443951,3,-8.7,1.832,3.58,0.91
443951,4,-8.7,1.935,4.508,0.91
443951,5,-8.4,2.169,3.83,0.91
47811,1,-8.2,0.0,0.0,0.9
47811,2,-8.0,2.309,5.106,0.9
47811,3,-8.0,2.391,5.39,0.9
47811,4,-7.8,1.947,4.592,0.9
47811,5,-7.8,2.563,5.471,0.9
9681,1,-8.9,0.0,0.0,0.9
9681,2,-8.9,1.49,1.597,0.9
9681,3,-8.7,3.237,6.372,0.9
9681,4,-8.6,2.5,3.072,0.9
9681,5,-8.0,2.035,2.635,0.9
28864,1,-8.4,0.0,0.0,0.9
28864,2,-8.1,3.325,5.847,0.9
28864,3,-7.9,1.763,3.577,0.9
28864,4,-7.8,3.229,6.392,0.9
28864,5,-7.7,3.689,6.94,0.9
8226,1,-9.6,0.0,0.0,0.84
8226,2,-9.4,3.463,6.224,0.84
8226,3,-9.4,1.773,2.353,0.84
8226,4,-9.0,5.107,7.288,0.84
8226,5,-9.0,2.154,4.258,0.84
443884,1,-8.3,0.0,0.0,0.84
443884,2,-8.2,2.542,4.763,0.84
443884,3,-8.1,3.144,5.888,0.84
443884,4,-8.0,2.246,4.179,0.84
443884,5,-7.9,2.759,5.327,0.84
443955,1,-8.6,0.0,0.0,0.82
443955,2,-8.4,1.96,4.502,0.82
443955,3,-8.1,1.886,5.078,0.82
443955,4,-7.9,2.358,4.162,0.82
443955,5,-7.8,2.015,5.088,0.82
125564,1,-10.0,0.0,0.0,0.81
125564,2,-9.8,2.565,5.043,0.81
125564,3,-8.8,3.957,7.659,0.81
125564,4,-8.6,2.603,3.441,0.81
125564,5,-8.0,2.603,5.967,0.81
57469,1,-7.8,0.0,0.0,0.81
57469,2,-7.5,3.394,5.696,0.81
57469,3,-7.5,2.06,4.787,0.81
57469,4,-7.5,1.468,4.8,0.81
57469,5,-7.4,1.353,1.919,0.81
2719,1,-7.8,0.0,0.0,0.8
2719,2,-7.4,1.517,1.898,0.8
2719,3,-7.3,3.328,8.132,0.8
2719,4,-7.3,1.817,2.762,0.8
2719,5,-7.2,2.405,3.985,0.8
53276,1,-8.7,0.0,0.0,0.79
53276,2,-8.7,0.047,1.033,0.79
53276,3,-8.4,1.259,1.625,0.79
53276,4,-8.2,1.877,2.418,0.79
53276,5,-8.0,4.303,8.784,0.79
41781,1,-8.8,0.0,0.0,0.78
41781,2,-8.8,3.695,8.197,0.78
41781,3,-8.7,2.188,8.706,0.78
41781,4,-8.5,2.157,8.488,0.78
41781,5,-8.3,3.271,5.229,0.78
28693,1,-10.8,0.0,0.0,0.78
28693,2,-10.1,1.54,2.056,0.78
28693,3,-9.9,2.024,3.74,0.78
28693,4,-9.8,2.207,3.755,0.78
28693,5,-9.8,3.945,8.335,0.78
2723754,1,-7.3,0.0,0.0,0.78
2723754,2,-7.1,1.638,1.858,0.78
2723754,3,-7.1,1.324,4.843,0.78
2723754,4,-7.1,0.977,2.681,0.78
2723754,5,-7.0,0.998,5.246,0.78
6089,1,-6.6,0.0,0.0,0.76
6089,2,-6.4,1.715,5.16,0.76
6089,3,-6.4,2.9,4.75,0.76
6089,4,-6.4,1.555,2.402,0.76
6089,5,-6.2,1.463,5.219,0.76
9931954,1,-9.6,0.0,0.0,0.75
9931954,2,-9.5,1.817,3.137,0.75
9931954,3,-8.9,2.652,4.309,0.75
9931954,4,-8.9,2.345,3.513,0.75
9931954,5,-8.6,1.886,2.389,0.75
25166913,1,-8.3,0.0,0.0,0.72
25166913,2,-8.2,2.573,4.398,0.72
25166913,3,-8.2,3.883,10.252,0.72
25166913,4,-8.0,1.26,2.078,0.72
25166913,5,-7.9,2.152,2.666,0.72
54746,1,-8.3,0.0,0.0,0.71
54746,2,-8.2,2.011,4.208,0.71
54746,3,-8.2,2.81,7.483,0.71
54746,4,-7.9,3.941,7.794,0.71
54746,5,-7.9,2.409,8.662,0.71
60149,1,-10.3,0.0,0.0,0.7
60149,2,-9.9,1.208,1.246,0.7
60149,3,-9.3,3.563,6.206,0.7
60149,4,-8.8,2.876,4.206,0.7
60149,5,-8.8,1.472,2.141,0.7
