xName,size
AAK1,10.986842105263158
ABL1,16.907894736842106
ABL2,10.328947368421053
ACK,11.425438596491228
ACTR2,10.219298245614034
ACTR2B,10.0
AKT1,13.508771929824562
AKT2,11.864035087719298
ALK,16.907894736842106
ALK1,10.0
ALK2,18.333333333333332
AMPKa1,11.206140350877194
AMPKa2,11.206140350877194
ANKRD3,10.43859649122807
AXL,10.0
AurA,31.271929824561404
AurB,10.0
AurC,10.109649122807017
BARK1,11.973684210526315
BIKE,10.43859649122807
BMPR1B,10.0
BMPR2,10.109649122807017
BMX,10.328947368421053
BRAF,21.842105263157894
BRK,10.548245614035087
BRSK2,10.109649122807017
BTK,23.37719298245614
BUB1,10.328947368421053
BUBR1,10.0
CASK,11.31578947368421
CCK4,10.0
CDC2,11.096491228070175
CDC7,10.657894736842104
CDK2,60.0
CDK4,11.425438596491228
CDK5,10.986842105263158
CDK6,11.973684210526315
CDK7,11.096491228070175
CDK8,13.289473684210526
CDK9,12.960526315789473
CDKL1,10.0
CDKL2,10.109649122807017
CDKL3,10.0
CDKL5,10.109649122807017
CHED,10.109649122807017
CHK1,27.214912280701753
CHK2,13.837719298245615
CK1a,10.219298245614034
CK1d,14.82456140350877
CK1e,10.109649122807017
CK1g1,10.0
CK1g2,10.0
CK1g3,10.986842105263158
CK2a1,36.09649122807018
CK2a2,13.289473684210526
CLK1,14.057017543859649
CLK2,10.548245614035087
CLK3,11.973684210526315
CLK4,10.0
COT,10.219298245614034
CRK7,13.947368421052632
CSK,10.219298245614034
CaMK1a,10.328947368421053
CaMK1d,10.657894736842104
CaMK1g,10.0
CaMK2a,13.070175438596491
CaMK2b,10.0
CaMK2d,10.548245614035087
CaMK2g,10.0
CaMK4,10.0
CaMKK1,10.109649122807017
CaMKK2,11.75438596491228
DAPK1,16.68859649122807
DAPK2,10.986842105263158
DAPK3,10.657894736842104
DCLK1,10.767543859649123
DDR1,13.508771929824562
DDR2,10.109649122807017
DLK,10.986842105263158
DMPK1,10.0
DRAK1,10.109649122807017
DRAK2,10.986842105263158
DYRK1A,18.662280701754387
DYRK1B,10.0
DYRK2,12.521929824561404
DYRK3,10.0
EGFR,39.16666666666667
EphA2,17.45614035087719
EphA3,12.850877192982455
EphA4,10.328947368421053
EphA5,10.0
EphA7,10.43859649122807
EphA8,10.0
EphB1,10.548245614035087
EphB2,10.219298245614034
EphB3,10.219298245614034
EphB4,11.973684210526315
ErbB2,10.43859649122807
ErbB3,10.986842105263158
ErbB4,10.328947368421053
Erk1,10.219298245614034
Erk2,26.557017543859647
Erk3,10.43859649122807
Erk5,11.206140350877194
FAK,12.631578947368421
FES,10.43859649122807
FGFR1,16.57894736842105
FGFR2,13.947368421052632
FGFR3,10.657894736842104
FGFR4,14.82456140350877
FGR,10.109649122807017
FLT1,10.0
FLT3,10.548245614035087
FMS,12.192982456140351
FYN,10.0
GAK,10.657894736842104
GCN2,10.548245614035087
GPRK4,10.0
GPRK5,10.43859649122807
GPRK6,10.219298245614034
GSK3A,10.109649122807017
GSK3B,20.087719298245613
HCK,12.631578947368421
HGK,11.75438596491228
HH498,10.43859649122807
HIPK2,10.109649122807017
HIPK3,10.109649122807017
HPK1,12.741228070175438
Haspin,13.289473684210526
IGF1R,13.070175438596491
IKKa,10.328947368421053
IKKb,10.219298245614034
ILK,10.328947368421053
INSR,13.837719298245615
IRAK1,10.0
IRAK3,10.109649122807017
IRAK4,18.55263157894737
IRE1,12.521929824561404
IRR,10.109649122807017
ITK,13.508771929824562
JAK1,14.714912280701753
JAK1-b,10.109649122807017
JAK2,21.29385964912281
JAK2-b,12.960526315789473
JAK3,14.276315789473685
JNK1,14.057017543859649
JNK2,10.43859649122807
JNK3,16.68859649122807
KDR,14.49561403508772
KHS2,10.0
KIT,13.728070175438596
KSR1,10.548245614035087
KSR2,10.767543859649123
LCK,13.728070175438596
LIMK1,10.87719298245614
LIMK2,10.328947368421053
LKB1,10.109649122807017
LMR3,10.0
LOK,11.425438596491228
LRRK1,10.328947368421053
LRRK2,12.083333333333332
LYN,10.548245614035087
MAP2K1,18.00438596491228
MAP2K2,10.0
MAP2K4,10.219298245614034
MAP2K6,10.548245614035087
MAP2K7,13.728070175438596
MAP3K5,12.521929824561404
MAPKAPK2,12.960526315789473
MAPKAPK3,10.43859649122807
MARK1,10.109649122807017
MARK2,10.43859649122807
MARK3,10.328947368421053
MARK4,10.109649122807017
MASTL,10.0
MELK,13.508771929824562
MER,13.728070175438596
MET,20.964912280701753
MLK1,10.109649122807017
MLK4,10.0
MLKL,11.535087719298245
MNK1,10.109649122807017
MNK2,11.31578947368421
MPSK1,10.0
MRCKb,10.548245614035087
MSK1,10.0
MSK1-b,10.657894736842104
MST1,10.43859649122807
MST2,10.43859649122807
MST3,14.276315789473685
MST4,10.43859649122807
MYT1,11.425438596491228
NDR1,10.0
NEK1,10.109649122807017
NEK2,13.179824561403509
NEK7,10.87719298245614
NIK,11.973684210526315
OSR1,10.109649122807017
PAK1,13.070175438596491
PAK3,10.0
PAK4,14.93421052631579
PAK5,10.109649122807017
PAK6,10.219298245614034
PASK,10.0
PBK,10.0
PCTAIRE1,10.109649122807017
PDGFRa,11.096491228070175
PDK1,17.017543859649123
PEK,11.425438596491228
PHKg1,10.109649122807017
PHKg2,10.0
PIK3R4,10.109649122807017
PIM1,29.956140350877195
PIM2,10.109649122807017
PKACa,23.596491228070178
PKCa,10.328947368421053
PKCb,10.0
PKCh,10.219298245614034
PKCi,10.87719298245614
PKCt,10.43859649122807
PKG1,10.767543859649123
PKN1,10.328947368421053
PKN2,10.0
PKR,10.548245614035087
PLK1,11.644736842105264
PLK2,10.43859649122807
PLK3,10.0
PLK4,10.219298245614034
PRP4,10.87719298245614
PRPK,10.43859649122807
PYK2,11.425438596491228
QSK,10.43859649122807
RAF1,10.548245614035087
RET,12.741228070175438
RIPK1,11.973684210526315
RIPK2,12.521929824561404
RIPK3,10.43859649122807
RNAseL,10.109649122807017
ROCK1,12.850877192982455
ROCK2,11.096491228070175
RON,10.109649122807017
ROR1,10.0
ROR2,10.109649122807017
ROS,10.328947368421053
RSK1,10.0
RSK1-b,10.0
RSK2,11.096491228070175
RSK2-b,11.096491228070175
RSK3,10.219298245614034
RSK3-b,10.219298245614034
RSK4,10.219298245614034
RYK,10.0
SGK1,10.328947368421053
SGK196,10.109649122807017
SLK,10.657894736842104
SNRK,10.0
SRC,12.741228070175438
SRPK1,11.096491228070175
SRPK2,10.219298245614034
STLK3,10.109649122807017
STLK5,10.219298245614034
SYK,18.55263157894737
SgK085,10.0
SgK223,10.0
SgK269,10.0
SgK495,10.0
TAK1,12.412280701754385
TAO3,10.0
TBK1,12.521929824561404
TGFbR1,13.618421052631579
TGFbR2,10.657894736842104
TIE2,10.767543859649123
TLK2,10.0
TNIK,10.986842105263158
TRKA,15.81140350877193
TRKB,10.328947368421053
TRKC,10.328947368421053
TTBK1,11.535087719298245
TTBK2,10.43859649122807
TTK,18.114035087719298
TTN,10.219298245614034
TYK2,13.179824561403509
TYK2-b,12.302631578947368
TYRO3,10.219298245614034
Trb1,10.219298245614034
Trb2,10.0
ULK1,10.548245614035087
ULK2,10.328947368421053
ULK3,10.109649122807017
ULK4,10.109649122807017
VRK1,12.521929824561404
VRK2,10.43859649122807
VRK3,10.0
Wee1,12.302631578947368
Wee1B,10.0
Wnk1,10.328947368421053
Wnk3,10.767543859649123
YANK1,10.0
YSK1,10.219298245614034
ZAK,10.548245614035087
ZAP70,10.219298245614034
p38a,50.131578947368425
p38b,10.328947368421053
p38d,10.767543859649123
